Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,Postcode
SHOP,1B MAIN STREET,CRAWCROOK,RYTON,,NE40 4TX
TAP SUPPLY - ST NICHOLAS CEMETERY,NUNS MOOR ROAD,NEWCASTLE UPON TYNE,,,NE4 9AU
Unit 2,Top Angel,Buckingham Industrial Estate,BUCKINGHAM,MK18 1TH,MK18 1TH
OFFICE R/O 71,HIGH STREET,CANVEY ISLAND,,,SS8 7RD
FINNINGLEY QUARRY,CROFT ROAD,FINNINGLEY,DONCASTER,,DN9 3DW
LAND USED FOR STORAGE ADJ 2-3,SUNRISE LANE,HOUGHTON LE SPRING,,,DH4 5AL
MOORFIELD ROAD,DUXFORD,CAMBRIDGE,CB22 4PS,,CB22 4PS
27 High Street,MABLETHORPE,,,,LN12 1AF
7 MIDDLE STREET,CORRINGHAM,GAINSBOROUGH,DN21 5QR,,DN21 5QR
BEDFORD HOUSE,112 LINTHORPE ROAD,MIDDLESBROUGH,,,TS1 2JR
UNIT 3,BLACKSTONE ROAD,STUKELEY MEADOWS IND. ESTATE,HUNTINGDON,PE29 6EF,PE29 6EF
UNIT 13 LAND NORTH OF JOHNSTON SWEEPERS," CASTLE ROAD, SITTINGBOURNE",KENT,,,ME10 3JP
UNIT I WALLAW BUILDINGS,WOODHORN ROAD,ASHINGTON,,,NE63 9UX
UNIT F4,MERCIA WAY,FOXHILLS INDUSTRIAL ESTATE,SCUNTHORPE,DN15 8RE,DN15 8RE
11B MIDDLETON GRANGE,HARTLEPOOL,,,,TS24 7RS
METER- OLD CLUB PREM  & RUSSELS PL.,NORTH TERRACE,WEST ALLOTMENT,NEWCASTLE UPON TYNE,,NE27 0DN
17 EASTGATE,SLEAFORD,NG34 7DW,,,NG34 7DW
6 DOOLITTLE MILL,AMPTHILL,BEDFORD,MK45 2ND,,MK45 2ND
UNIT 13 RIVERSIDE BUSINESS SUITES,AMETHYST ROAD,NEWCASTLE UPON TYNE,,,NE4 7YL
5a Church Street,Coggeshall,COLCHESTER,,,CO6 1TU
RUSTON HOUSE,WATERSIDE SOUTH,LINCOLN,LN5 7FD,,LN5 7FD
HUNTERS ROAD,,SPITAL TONGUES,NEWCASTLE UPON TYNE,,NE2 4NE
4/7 UNIT BT B,LYNMOUTH ROAD,NORTH SHIELDS,,,NE29 7TY
Midwest Business Park,Washway Road,Holbeach,SPALDING,,PE12 8JB
.,THE OLD CHAPEL,HEXTON,.,HITCHIN,SG5 3HX
DOCKING FARM - MEADOW,OULTON,NORWICH,,,NR11 6QZ
UNIT 19,ALLIANCE INDUSTRIAL ESTATE,DARLINGTON,,,DL1 2PA
20A 1ST & 2ND FLOORS,FREDERICK STREET,SOUTH SHIELDS,,,NE33 5AE
ASHURST,SOUTHGATE PARK,ORTON SOUTHGATE,PETERBOROUGH,PE2 6YS,PE2 6YS
8 THE ARCADE,PETERBOROUGH,PE1 1PY,,,PE1 1PY
CAR PARK,CAMPBELL PARK ROAD,HEBBURN,,,NE31 2SN
Fornham All Saints,BURY ST. EDMUNDS,,,,IP28 6JH
FRESH WHARF DEVELOPMENT,HIGHBRIDGE ROAD,BARKING,,,IG11 7BP
Shop H,Princes Street,HUNTINGDON,,,PE29 3LN
ORFORD YARD,NORWICH,NR1 3TB,,,NR1 3TB
17 NEWLANDS,WITHAM,,,,CM8 2AP
BROOMFIELD GRANGE NURSING HOME,PUDDINGS WOOD LANE,BROOMFIELD,CHELMSFORD,,CM1 7FG
Land Adjacent to Holly Cottage,,,,,IP8 3JD
LEMINGTON TRAVELLERS CARAVAN SITE,NEWBURN HAUGH,NEWCASTLE UPON TYNE,,,NE15 8SG
SITE OFFICE,STATION,,LONDON,,SE13 5FT
Land Off Plot 8,Drain Bank North,Cowbit,SPALDING,,PE12 6FR
Units 8a/8b,Unit 2,Riverside Retail Park,NORWICH,,NR1 1WR
BINSTORE,BRUFF ROAD,IPSWICH,IP2 8EF,,IP2 8EF
THE PHARMACY,RAVENSWORTH ROAD,GATESHEAD,,,NE11 9AZ
"OFFICE 13 GND FLR, GROUNDSTAR HSE",FREIGHT VILLAGE,WOOLSINGTON,NEWCASTLE UPON TYNE,,NE13 8BH
